date,study_hours,sleep_hours,screen_time,mood,exercise_minutes,caffeine_cups,expenses,productivity_score
2022-01-01,7.894085475420219,7.679226523903203,2.987232587538428,4,17.04759592552599,1,317.1397371341285,6.505743973649685
2022-01-02,6.751124257891868,7.109560419495322,3.7832219939267233,5,29.53194766591374,4,367.8796327785519,6.228383239304873
2022-01-03,8.165839368581246,6.071556443904209,2.811370118500058,6,30.2702530806667,5,504.346265965724,6.855625247795208
2022-01-04,9.741453741534446,5.223675866753311,3.5380577055414397,9,37.08945518765108,4,149.3774152183524,7.584690849067482
2022-01-05,6.578523925497995,6.837867976336308,1.1595779995693216,7,9.497124550787603,3,263.06274087750086,5.583562983275406
2022-01-06,6.578553477491475,6.472182462506099,4.319940561059408,4,38.88850910770996,5,202.20034679133414,6.311368820671183
2022-01-07,9.842583067913305,7.074231864033278,4.001808213043336,7,0.0,4,334.26577102610725,6.243199450557968
2022-01-08,8.381382512475236,6.762206162018363,2.774367053397714,4,20.551731714542846,3,277.16189194766207,6.692066279890727
2022-01-09,6.154946105317086,7.259463258383203,4.988868502648607,8,22.67589236322683,4,168.15676800960662,5.391332947805124
2022-01-10,7.976608078454737,5.357717746127318,5.406355206439837,6,39.499902391068574,4,251.09478163470445,6.489343441331025
2022-01-11,1.0,3.5,1.5886602034465387,3,30.339462790153036,5,354.6922739655885,6.556427038915485
2022-01-12,6.1616864435735375,6.237119525630879,2.8559128321506786,8,8.9165541921557,3,119.62753689749337,4.826624222653682
2022-01-13,7.435532088818862,8.0,2.8462864753190527,5,15.225103112744772,1,170.2655444361021,6.309763904982859
2022-01-14,3.556095559615964,5.1729746182925185,2.590145348336703,4,32.98020014321111,2,155.2724914958191,4.460921102788952
2022-01-15,3.895147901476541,8.0,5.244212262897623,6,28.813989872031655,5,282.639655548691,4.7394309917603294
2022-01-16,5.987882447366249,6.237492940155177,3.7092607918407947,8,21.313138355463803,3,374.051607961496,5.188993865134709
2022-01-17,5.176903983398037,5.218298395662662,3.603227738034084,4,22.78749315732031,4,50.0,4.572670620657015
2022-01-18,7.565645198671493,5.419336999134814,1.0,2,40.44251995738934,3,259.4398563478583,7.230749696945658
2022-01-19,5.36555666406182,5.615583230166816,4.95312704531384,6,22.23461140696178,2,157.57792827248159,4.488558462366276
2022-01-20,4.457853337596475,6.508999135682299,2.141112407719791,7,28.6786313395639,2,350.5402774829984,5.187335494937164
2022-01-21,9.638167784058798,6.627402585642599,4.089898945399493,8,62.54904882120814,1,226.3031724428746,9.116777319702688
2022-01-22,4.593602659124236,6.311559995273705,4.416065406937287,6,8.644760446741156,0,263.06739390773976,3.739294269093829
2022-01-23,5.121550768438263,6.97077448928682,6.040987893757976,6,2.222359026380122,1,249.86630047979398,3.554928103572588
2022-01-24,2.4354532648157776,9.0,2.0367694013213318,8,41.7538449719791,4,362.4218803189845,5.598065000742577
2022-01-25,4.020111095854671,9.0,1.0,4,19.82035408058845,4,454.8631530797783,5.501073251956758
2022-01-26,5.199660661477759,7.523588403608839,4.2757743171305425,6,25.226437083860695,3,136.5334670118559,5.263073842588458
2022-01-27,2.928211560639855,7.0456041738018405,6.700766772266281,7,18.28265432803329,0,154.7443882005348,3.151766394408888
2022-01-28,5.67625643302221,7.144037592061913,5.858419529409156,7,26.102997888487312,3,282.1497902554707,5.114805482672213
2022-01-29,3.918850358146151,7.7362215672765,4.314489122911938,6,53.978071681445115,0,168.35976516980813,6.1162974087458934
2022-01-30,4.474951250372102,5.772648921761913,3.2625457215519287,7,42.03192687927179,1,343.3583770400274,5.4183575013678285
2022-01-31,3.9169280979870855,6.691148155091986,5.210683894955966,3,42.93335267830466,4,359.4117459084337,5.070339350445178
2022-02-01,8.334100732116088,4.997699111346893,2.539680700443297,6,8.756594163110318,4,195.3423687753542,5.596253667528969
2022-02-02,4.975704995471719,7.479067747126335,4.714536654034329,7,12.732693951706963,1,173.6462733358525,4.425300188652242
2022-02-03,3.0961203278793796,7.7766351276432895,4.75820523874994,5,0.0,3,222.5220978347281,2.9294096544826886
2022-02-04,6.4805808417857405,6.420176245240751,5.59031486124832,7,17.85928768375869,3,260.40182139630184,4.941244706403366
2022-02-05,2.80248143005216,8.88878411594804,8.139490058366617,7,44.35054779578488,2,281.48371898951916,4.657505327926412
2022-02-06,5.375954471008559,5.52908120439719,4.5886239507681506,6,37.754197736225564,0,50.0,5.316686693481084
2022-02-07,1.472593777016404,5.242750143748216,3.236554561438752,7,26.677301055718143,3,153.25444811498815,2.9956760721308235
2022-02-08,2.609265111982825,7.269342182271966,3.9616385317120084,5,29.665495744229204,1,209.5900651129416,4.176382291542061
2022-02-09,5.354350224564422,8.256517963134586,1.3463861426663226,6,19.66671686136892,3,170.3010668253113,5.868189115757769
2022-02-10,6.329239843991739,9.0,2.9579303033664126,7,33.07138323602676,4,50.0,6.926603023123924
2022-02-11,5.308462906141947,6.449338884557272,3.3860763428303438,7,41.48817419220922,0,61.16275346453065,5.986226559482548
2022-02-12,4.791833091701167,8.294417000117555,3.2138674030981114,6,5.76169818884291,2,119.46414744156331,4.529553074708373
2022-02-13,4.45801334793928,6.953789836599151,4.228532308050583,7,34.49471531756022,0,238.4715799146781,5.194172929217279
2022-02-14,2.3386604173386307,6.7928472400710165,2.7663701014266993,8,43.98652306432001,4,206.37978065186905,4.853236513621281
2022-02-15,3.7042804248895242,8.060391924984007,5.681546000986707,3,23.773495665549454,4,186.84309174714255,4.322623373020096
2022-02-16,4.1708502122723825,7.782787454096104,4.000310597377296,8,40.51050918180876,4,329.651496079284,5.645724681980001
2022-02-17,6.902820007194048,5.108329411618901,3.9860495182920785,6,72.2198166670883,4,329.6133664923762,7.797689756778693
2022-02-18,5.61851292122323,8.771848419671075,3.5081579252306234,7,28.43485810519662,1,264.9918653481874,6.160922306726645
2022-02-19,1.8265277203470789,8.656109624976942,4.232786025788469,8,35.89960575007986,2,262.01202827186586,4.4585198300129205
2022-02-20,5.5833511449106314,6.249324758188565,5.237647397001452,4,18.929143745079127,4,164.33394490665884,4.565400707765551
2022-02-21,4.30685189525063,7.474964240124891,2.6993046764336492,5,32.718767439030756,4,176.3007669343472,5.49199265632759
2022-02-22,3.7815403994492742,7.592836223539287,3.012825266387115,6,36.904074374734556,3,79.23506168747821,5.411259732245728
2022-02-23,6.101017319913562,7.312808518988689,3.544410956835003,5,32.92263510405207,2,224.9248568221669,6.181600779488991
2022-02-24,6.855799140492712,6.339633815385496,1.9811936147901776,9,14.70457020436715,0,328.57412897111965,5.668779502122327
2022-02-25,6.676304214409157,6.194051958474338,2.771113210417753,5,33.09542656988176,2,385.432989677456,6.296916381157417
2022-02-26,3.4894084581992506,6.969335114810265,3.2856686896830114,6,51.932939080764555,2,225.52201420945366,5.77501797964433
2022-02-27,4.443417723467814,8.407274823111237,5.311583771069092,7,36.72953646771791,2,299.16688320096904,5.518051377839355
2022-02-28,5.596274176526415,7.652320185513319,4.393841993502887,5,44.429807836077615,4,50.0,6.436555137020507
2022-03-01,6.7559812288202465,6.5552628014966725,4.2903848670513165,6,26.444820449810585,4,206.7071679601576,5.808733503939391
2022-03-02,4.137486371878478,7.926038452778013,5.2763469432519585,7,41.24850359135566,1,204.36376198667364,5.453710512690034
2022-03-03,4.665813842005129,4.0,3.793942317400905,6,34.18901757324789,0,399.1168314225383,4.483569336184778
2022-03-04,3.0085970467891494,8.378518840446525,4.5856972748933345,6,15.73633905469152,3,289.2933460921418,3.8875316732844407
2022-03-05,2.8468280766547926,4.9123434654662805,3.8451673706012555,6,34.77781507198311,2,299.42554228806074,3.8669743574461855
2022-03-06,6.462546480309556,6.565070870316242,4.398043524099442,4,15.124550048395342,0,294.2328310998993,5.077413298849529
2022-03-07,7.441232051427481,5.6563961264486275,3.125862013582627,7,20.50679587672812,0,254.54427323322213,5.817702254768209
2022-03-08,4.870381781155399,5.4463822291349135,1.0,9,32.83992460938561,1,403.23653308491294,5.511101789787454
2022-03-09,6.806359216205643,8.392992144854222,3.798581256720544,7,34.45866410070186,3,50.0,6.884294205250073
2022-03-10,5.650944845085742,6.4387585584257305,6.13412220414991,7,12.161513023843064,2,264.6210408715418,4.138351200432761
2022-03-11,3.8387844417107764,7.415804658076859,5.389323103362388,8,45.809786567743146,3,362.98028516395635,5.356758325993126
2022-03-12,5.650512089915145,6.9436953053449795,5.448096226886756,5,38.580094174507096,1,60.860654680735166,5.747750099909069
2022-03-13,7.768465819638745,7.572448992667746,5.854196082709327,9,19.429073465836744,4,333.7917853772302,5.956582064369669
2022-03-14,4.9355131296020875,7.0921862692723066,4.132986386442156,7,6.936228053262369,0,173.88367587346835,4.1156265709574225
2022-03-15,7.816358580465211,5.460409330973716,4.295973561108394,9,27.82643131377853,2,260.98159288420413,6.078428942991969
2022-03-16,0.2844588126384604,8.195520183336567,3.0735221568484747,5,23.3108442920826,4,171.96406190545733,3.151723244554635
2022-03-17,6.479424507875403,6.407492100206425,3.5258907159594255,9,31.697106855795344,1,345.91516765490223,6.041637083597511
2022-03-18,5.156684722828708,5.132101721608299,4.923656724656713,8,24.5532500826665,3,221.16381187764338,4.360904037098827
2022-03-19,4.461786769161439,6.486261806840905,5.805826655753224,7,0.0,0,334.57968563572115,3.015606595482346
2022-03-20,5.165169397763904,8.800911748761173,3.7908305864785006,7,24.174795925482623,2,293.5329836264341,5.673431902488735
2022-03-21,1.4223759537183929,8.020266090536191,3.3247161027228826,6,25.415713333975305,4,170.62075159411614,3.7231102501742424
2022-03-22,4.604590601892479,6.581617438710569,4.0007919382848955,8,39.50491537161088,4,300.1859190395525,5.4518679134829755
2022-03-23,5.642802628721143,6.580890754817886,4.901810123393672,7,19.527004880834255,0,183.64309419872677,4.791656760168916
2022-03-24,7.660209280534729,6.614037938539141,1.8342177757996874,4,55.180120100588496,3,256.41280938399734,8.206478471698595
2022-03-25,4.0671136071074345,9.0,1.0,5,1.325391740223644,1,219.34056385102002,4.599826390564899
2022-03-26,3.5447115147922625,7.458322542677864,3.1741947257626246,6,49.667512467039366,3,339.99118663887737,5.858389198398934
2022-03-27,4.096837321547834,7.516049976629284,2.168931361128762,7,26.635215436828428,3,304.03222707374175,5.201208153378371
2022-03-28,6.647723811863734,8.236340144838211,3.2377897035290335,6,42.89377308515334,3,246.92784513952577,7.29189466293519
